"resort","latitude","longitude","country","continent","price","season","highest_point","lowest_point","beginner_slopes","intermediate_slopes","difficult_slopes","total_slopes","longest_run","snow_cannons","surface_lifts","chair_lifts","gondola_lifts","total_lifts","lift_capacity","child_friendly","snowparks","nightskiing","summer_skiing","vertical_drop","beginner_percent","intermediate_percent","difficult_percent","price_clean","lift_capacity_clean","price_per_km","capacity_per_lift","terrain_score","vertical_score","lift_score","longest_run_score","affordability_score","value_score"
"Hemsedal",60.9282437,8.38348693,"Norway","Europe",46,"November - May",1450,620,29,10,4,43,6,325,15,6,0,21,22921,"Yes","Yes","Yes","No",830,67.44186046511628,23.25581395348837,9.30232558139535,46,22921,1.069767441860465,1091.4761904761904,0.08206686930091185,0.3221884498480243,0.44072948328267475,0.6231003039513677,0.6492307692307693,36.3
"Red Mountain Resort-Rossland",49.1055201,-117.8462801,"Canada","North America",60,"December - April",2075,1185,20,50,50,120,7,0,2,5,1,8,9200,"Yes","Yes","Yes","No",890,16.666666666666664,41.66666666666667,41.66666666666667,60,9200,0.5,1150,0.7203647416413373,0.3708206686930091,0.0547112462006079,0.7112462006079028,0.29230769230769227,44.7
"Hafjell",61.2303686,10.52901357,"Norway","Europe",45,"November - April",1030,195,33,7,4,44,6,150,14,3,1,18,21060,"Yes","Yes","Yes","No",835,75,15.909090909090908,9.090909090909092,45,21060,1.0227272727272727,1170,0.10638297872340426,0.3282674772036474,0.39209726443769,0.6231003039513677,0.6799999999999999,37.1
"Voss",60.6837065,6.407904807,"Norway","Europe",43,"November - May",960,284,25,4,11,40,0,40,7,4,0,11,11900,"Yes","Yes","No","No",676,62.5,10,27.500000000000004,43,11900,1.075,1081.8181818181818,0,0.2006079027355623,0.11246200607902736,0,0.7446153846153847,21.6
"Fernie",49.5041747,-115.062867,"Canada","North America",67,"December - April",2134,1052,42,58,42,142,5,11,3,7,0,10,14514,"Yes","Yes","No","No",1082,29.577464788732392,40.845070422535215,29.577464788732392,67,14514,0.47183098591549294,1451.4,0.8024316109422492,0.5440729483282675,0.2188449848024316,0.541033434650456,0.1938461538461539,50.2
"Sun Peaks",50.8844684,-119.8823295,"Canada","North America",62,"November - April",2082,1198,13,78,43,134,8,0,6,6,0,12,13895,"Yes","Yes","Yes","No",884,9.701492537313433,58.2089552238806,32.08955223880597,62,13895,0.4626865671641791,1157.9166666666667,0.7720364741641338,0.3677811550151976,0.19756838905775076,0.790273556231003,0.25230769230769234,48.3
"Panorama",50.7369988,-119.1205606,"Canada","North America",62,"December - April",2365,1140,20,55,25,100,5,0,3,6,4,13,11890,"Yes","Yes","Yes","No",1225,20,55.00000000000001,25,62,11890,0.62,914.6153846153846,0.5805471124620061,0.6352583586626139,0.1094224924012158,0.541033434650456,0.25230769230769234,45.4
"Zermatt - Matterhorn",45.96300885,7.715412186,"Switzerland","Europe",81,"Year-round",3899,1562,75,220,27,322,16,1060,21,22,20,63,93464,"Yes","Yes","No","Yes",2337,23.29192546583851,68.32298136645963,8.385093167701864,81,93464,0.2515527950310559,1483.5555555555557,0.9483282674772037,0.9848024316109423,0.9057750759878419,0.9908814589665653,0.13230769230769235,79.2
"Val Gardena",46.5766427,11.6444217,"Italy","Europe",54,"December - April",2518,1236,52,105,18,175,10,630,29,41,14,84,121914,"Yes","Yes","No","No",1282,29.714285714285715,60,10.285714285714285,54,121914,0.30857142857142855,1451.357142857143,0.8449848024316109,0.7051671732522796,0.939209726443769,0.8814589665653495,0.3538461538461538,73
"Gressoney - La-Trinite (Monterosa Ski)",45.8597574,7.752615678,"Italy","Europe",43,"December - April",3275,1212,23,94,15,132,8,655,9,9,12,30,31984,"Yes","Yes","No","No",2063,17.424242424242426,71.21212121212122,11.363636363636363,43,31984,0.32575757575757575,1066.1333333333334,0.7659574468085106,0.9513677811550152,0.6170212765957447,0.790273556231003,0.7446153846153847,78.8
